Column1,Column2,Column3,Column4
50000,-88,45761,4.002424988
50000,-88,46028,4.002424988
,,,
50000,-90,45442,4.12014337
50000,-90,45968,4.12014337
50000,-91,45838,4.179002561
50000,-91,46575,4.179002561
50000,-90,45910,4.12014337
50000,-92,45822,4.237861752
50000,-92,47166,4.237861752
50000,-92,46943,4.237861752
50000,-92,49966,4.237861752
50000,-91,47347,4.179002561
50000,-90,63271,4.12014337
50000,-91,46820,4.179002561
50000,-90,45971,4.12014337
50000,-90,46310,4.12014337
50000,-91,63939,4.179002561
50000,-91,67211,4.179002561
50000,-91,46277,4.179002561
50000,-91,46875,4.179002561
50000,-91,46909,4.179002561
50000,-88,46986,4.002424988
50000,-86,45481,3.884706606
50000,-87,45279,3.943565797
50000,-91,64555,4.179002561
50000,-90,46333,4.12014337
50000,-90,46516,4.12014337
50000,-91,50062,4.179002561
50000,-91,46642,4.179002561
50000,-91,47296,4.179002561
50000,-90,46002,4.12014337
50000,-88,46201,4.002424988
50000,-90,45870,4.12014337
50000,-90,46495,4.12014337
50000,-89,46982,4.061284179
50000,-90,46464,4.12014337
50000,-90,47557,4.12014337
50000,-89,46875,4.061284179
50000,-88,47695,4.002424988
50000,-90,46462,4.12014337
50000,-91,46999,4.179002561
50000,-92,47030,4.237861752
50000,-91,47523,4.179002561
50000,-91,47574,4.179002561
50000,-91,48993,4.179002561
50000,-90,48374,4.12014337
50000,-89,47890,4.061284179
50000,-89,48302,4.061284179
50000,-89,48884,4.061284179
50000,-89,48117,4.061284179
50000,-89,48447,4.061284179
50000,-89,47473,4.061284179
50000,-90,48588,4.12014337
50000,-89,48000,4.061284179
50000,-90,48405,4.12014337
50000,-92,47238,4.237861752
50000,-90,46750,4.12014337
50000,-91,46737,4.179002561
50000,-89,46348,4.061284179
50000,-90,46484,4.12014337
50000,-90,46665,4.12014337
50000,-90,46496,4.12014337
50000,-90,46111,4.12014337
50000,-89,46516,4.061284179
50000,-89,46303,4.061284179
50000,-89,46299,4.061284179
50000,-91,46911,4.179002561
50000,-90,51999,4.12014337
50000,-91,64124,4.179002561
50000,-91,47841,4.179002561
50000,-91,47262,4.179002561
50000,-91,47358,4.179002561
50000,-92,45540,4.237861752
50000,-93,48876,4.296720943
50000,-92,47186,4.237861752
50000,-89,46898,4.061284179
50000,-89,46795,4.061284179
50000,-90,46989,4.12014337
50000,-90,48428,4.12014337
50000,-92,54288,4.237861752
50000,-92,48287,4.237861752
50000,-91,57943,4.179002561
50000,-92,65276,4.237861752
50000,-91,65980,4.179002561
50000,-91,66776,4.179002561
50000,-91,50141,4.179002561
50000,-92,66635,4.237861752
50000,-92,61552,4.237861752
50000,-88,65326,4.002424988
50000,-88,47295,4.002424988
50000,-88,46381,4.002424988
50000,-89,46837,4.061284179
50000,-89,46292,4.061284179
50000,-90,48105,4.12014337
50000,-91,47784,4.179002561
50000,-91,47555,4.179002561
50000,-91,47609,4.179002561
50000,-90,48212,4.12014337
50000,-90,47145,4.12014337
50000,-91,49074,4.179002561
50000,-90,47635,4.12014337
50000,-91,49505,4.179002561
50000,-90,46885,4.12014337
50000,-90,47478,4.12014337
50000,-90,47032,4.12014337
50000,-91,47842,4.179002561
50000,-90,47660,4.12014337
50000,-91,44586,4.179002561
50000,-91,46680,4.179002561
50000,-94,45219,4.355580135
50000,-92,45879,4.237861752
50000,-90,45240,4.12014337
50000,-91,46380,4.179002561
50000,-91,44946,4.179002561
50000,-91,44910,4.179002561
50000,-93,45107,4.296720943
50000,-93,45234,4.296720943
50000,-91,44999,4.179002561
50000,-91,44946,4.179002561
50000,-91,45228,4.179002561
50000,-92,44773,4.237861752
50000,-90,45256,4.12014337
50000,-91,44246,4.179002561
50000,-90,44860,4.12014337
50000,-91,44765,4.179002561
50000,-91,44266,4.179002561
50000,-91,45102,4.179002561
50000,-92,44212,4.237861752
50000,-91,44328,4.179002561
50000,-92,44704,4.237861752
50000,-92,45325,4.237861752
50000,-91,45159,4.179002561
50000,-92,45307,4.237861752
