0.0239,0.0127,-0.0182,-50.6,1.9,-85.4,0.06
0.0165,0.0237,0.0087,-50.5,2,-85.4,0.06
-0.025,0.0072,-0.0084,-50.5,1.9,-85.4,0.06
0.0006,-0.0136,0.0258,-50.6,1.9,-85.3,0.06
-0.0281,-0.0417,0.002,-50.7,1.8,-85.3,0.06
-0.0348,-0.0337,-0.0145,-50.8,1.7,-85.4,0.06
-0.0433,-0.0282,-0.0078,-50.9,1.5,-85.4,0.06
-0.0189,-0.0209,-0.0115,-51,1.5,-85.4,0.06
-0.0195,0.0054,-0.0084,-51,1.4,-85.5,0.06
0.0067,0.0164,-0.0219,-50.9,1.4,-85.5,0.06
-0.0061,-0.0007,-0.0145,-50.9,1.4,-85.6,0.06
-0.0507,0.0011,-0.0359,-50.9,1.2,-85.7,0.06
0.0025,0.0115,-0.0207,-50.9,1.3,-85.8,0.06
0.0171,0.0042,-0.0176,-50.9,1.3,-85.8,0.06
-0.0269,-0.0081,-0.0286,-50.9,1.2,-85.9,0.06
-0.0116,-0.0026,-0.0097,-50.9,1.2,-86,0.06
0.0074,0.0096,-0.0072,-50.9,1.2,-86,0.06
-0.0018,-0.002,-0.0109,-50.9,1.2,-86,0.06
-0.0152,0.006,-0.0213,-50.9,1.1,-86.1,0.06
0.0147,0.0017,-0.0115,-50.8,1.2,-86.1,0.06
0.0245,-0.0185,-0.0426,-50.9,1.3,-86.3,0.06
-0.0171,-0.0142,-0.0341,-51,1.2,-86.4,0.06
0.0171,-0.0136,0.0209,-51,1.3,-86.3,0.06
0.0086,-0.0001,0.0148,-51,1.3,-86.3,0.06
-0.0183,0.0035,0.0056,-51,1.2,-86.3,0.06
0.019,0.0084,0.0099,-51,1.3,-86.2,0.06
-0.0354,0.0109,-0.0127,-50.9,1.2,-86.3,0.06
-0.0061,0.017,-0.0066,-50.9,1.2,-86.3,0.06
0.0245,0.0219,0.0325,-50.8,1.3,-86.2,0.06
-0.0171,0.0206,0.0038,-50.7,1.2,-86.2,0.06
0.0208,0.0237,0.0013,-50.6,1.3,-86.2,0.06
0.011,0.0365,0.016,-50.5,1.3,-86.1,0.06
-0.113,0.0096,-0.0139,-50.5,0.9,-86.2,0.06
-0.0085,-0.002,-0.0078,-50.5,0.9,-86.2,0.06
0.0104,0.0439,-0.1001,-50.3,0.9,-86.5,0.0601
-0.0238,-0.0142,-0.1104,-50.4,0.8,-86.9,0.0601
0.019,-0.0649,-0.0885,-50.6,0.9,-87.2,0.0601
-0.0275,-0.0466,-0.0347,-50.8,0.8,-87.3,0.0601
-0.0782,0.0274,0.0038,-50.7,0.5,-87.3,0.0601
0.0715,0.2198,0.275,-49.9,0.8,-86.4,0.0601
-0.0495,0.2656,0.4057,-49,0.6,-85,0.0601
-0.0146,0.3047,0.5536,-48,0.6,-83.1,0.0601
-0.0262,0.3798,0.6476,-46.7,0.5,-80.8,0.0601
0.0019,0.466,0.837,-45,0.5,-78,0.0601
-0.1881,0.5075,0.9592,-43.3,-0.2,-74.7,0.0601
-0.1826,0.6291,1.1583,-41.1,-0.8,-70.7,0.0601
-0.3457,0.684,1.3269,-38.8,-2,-66.1,0.0601
-0.1527,0.83,1.512,-35.9,-2.5,-60.9,0.0601
-0.1667,0.8429,1.5297,-33,-3.1,-55.7,0.0601
-0.0757,0.8239,1.5719,-30.2,-3.3,-50.2,0.0601
0.0037,0.9858,1.6904,-26.8,-3.3,-44.4,0.0601
-0.2834,0.6853,1.6311,-24.4,-4.3,-38.8,0.0601
0.0648,0.7897,1.7319,-21.7,-4.1,-32.9,0.06
-0.0867,0.6889,1.4112,-19.4,-4.4,-28,0.06
0.1521,0.5747,1.2542,-17.4,-3.9,-23.7,0.06
0.1314,0.5002,0.9604,-15.7,-3.4,-20.4,0.06
0.0446,0.4941,0.6953,-14,-3.3,-18,0.06
0.0184,0.4513,0.5743,-12.4,-3.2,-16,0.06
0.0691,0.3798,0.5749,-11.1,-3,-14,0.06
0.0452,0.3652,0.5352,-9.8,-2.8,-12.2,0.06
0.0287,0.2564,0.542,-9,-2.7,-10.3,0.06
0.0318,0.2351,0.5334,-8.2,-2.6,-8.5,0.06
0.0465,0.1831,0.4296,-7.5,-2.4,-7,0.06
0.0764,0.1599,0.3019,-7,-2.2,-6,0.06
-0.0091,0.0976,0.1681,-6.6,-2.2,-5.4,0.06
0.0544,0.0775,0.1565,-6.4,-2,-4.9,0.06
-0.0116,-0.0276,0.1272,-6.5,-2,-4.4,0.06
-0.1246,-0.0905,-0.0109,-6.8,-2.5,-4.5,0.06
0.1589,0.0604,0.0636,-6.6,-1.9,-4.3,0.06
0.0239,-0.0899,0.0038,-6.9,-1.8,-4.2,0.06
-0.0879,-0.0386,-0.0457,-7,-2.2,-4.4,0.06
-0.0134,-0.0264,0.0129,-7.1,-2.2,-4.4,0.06
-0.058,-0.0282,0.0337,-7.2,-2.4,-4.2,0.06
-0.0629,0.0066,-0.0341,-7.2,-2.6,-4.4,0.06
0.0055,0.0023,0.0056,-7.2,-2.6,-4.3,0.06
0.0074,0.0096,0.0203,-7.1,-2.6,-4.3,0.06
0.0269,0.0261,0.0209,-7.1,-2.5,-4.2,0.06
-0.0299,-0.0117,-0.017,-7.1,-2.6,-4.3,0.06
-0.0207,-0.005,-0.0115,-7.1,-2.6,-4.3,0.06
-0.0226,0.0042,-0.0097,-7.1,-2.7,-4.3,0.06
-0.022,-0.0032,0.0105,-7.1,-2.8,-4.3,0.06
-0.033,-0.0099,0.0276,-7.1,-2.9,-4.2,0.06
-0.0122,-0.0056,0.0166,-7.2,-3,-4.1,0.06
-0.003,-0.0185,-0.0359,-7.2,-3,-4.3,0.06
-0.0207,0.0023,-0.042,-7.2,-3,-4.4,0.06
0.0135,0.0084,-0.0152,-7.2,-3,-4.5,0.06
0.0263,0.0206,0.0129,-7.1,-2.9,-4.4,0.06
0.0245,-0.0172,-0.0194,-7.2,-2.8,-4.5,0.06
-0.0653,-0.016,-0.0463,-7.2,-3,-4.6,0.06
0.0239,0.0066,-0.0017,-7.2,-3,-4.6,0.06
-0.003,-0.0172,0.0362,-7.3,-3,-4.5,0.06
0.0184,0.0127,0.0105,-7.2,-2.9,-4.5,0.06
-0.0042,-0.002,0.0074,-7.2,-2.9,-4.5,0.06
0,-0.0001,0.0221,-7.2,-2.9,-4.4,0.06
-0.0116,-0.0111,0.0178,-7.3,-3,-4.3,0.06
0.0214,0.0011,0.0246,-7.3,-2.9,-4.2,0.06
0.0165,-0.0038,0.0319,-7.3,-2.8,-4.1,0.06
0.0214,0.0158,0.0001,-7.2,-2.8,-4.1,0.06
0.0074,-0.0056,-0.0304,-7.2,-2.7,-4.2,0.06
0.0129,0.0072,0.0252,-7.2,-2.7,-4.1,0.06
0.0067,-0.0062,0.0288,-7.2,-2.7,-4.1,0.06
0.0171,-0.0056,-0.006,-7.3,-2.6,-4.1,0.06
-0.0012,-0.0026,-0.0005,-7.3,-2.6,-4.1,0.06
0.0281,0.0145,0.0227,-7.2,-2.5,-4,0.06
0.041,0.0127,0.0221,-7.2,-2.4,-3.9,0.06
0.019,0.0164,0.0221,-7.1,-2.3,-3.8,0.06
0.0214,-0.0026,0.002,-7.1,-2.2,-3.8,0.06
-0.0482,0.0084,0.0026,-7.1,-2.4,-3.8,0.06
0.0165,0.0115,0.0074,-7.1,-2.3,-3.8,0.06
-0.0604,-0.0001,-0.028,-7.1,-2.6,-3.9,0.06
0.0232,0.0164,0.0276,-7,-2.5,-3.8,0.06
0.0281,0.017,0.0313,-6.9,-2.4,-3.7,0.06
0.0122,-0.0062,0.0044,-7,-2.3,-3.7,0.06
0.0025,-0.005,-0.0005,-7,-2.3,-3.7,0.06
0.0202,0.0158,-0.0048,-6.9,-2.3,-3.7,0.06
0.022,0.0127,0.0239,-6.9,-2.2,-3.6,0.06
0.0208,0.0206,0.0288,-6.8,-2.1,-3.5,0.06
0.0348,0.0066,0.0191,-6.8,-2,-3.5,0.06
0.0245,0.0151,0.0056,-6.7,-1.9,-3.4,0.06
0.0232,0.0249,0.0233,-6.7,-1.8,-3.4,0.06
-0.0385,0.0347,0.0203,-6.5,-2,-3.3,0.06
-0.0391,0.0439,0.0948,-6.4,-2.1,-3,0.06
-0.0427,0.0469,0.1858,-6.2,-2.2,-2.3,0.06
0.0367,0.122,0.2964,-5.8,-2.1,-1.3,0.06
0.0391,0.1935,0.3532,-5.1,-2,-0.1,0.06
-0.0159,0.3542,0.4766,-3.9,-2,1.6,0.06
0.0342,0.5069,0.7032,-2.2,-1.9,4,0.06
